Time,User,Thread ID,Server ID,Command,Argument
2024-05-17 17:19:39.354226,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SHOW INDEX FROM `mysql`.`general_log`
2024-05-17 17:20:00.740924,thaituan[thaituan] @ localhost [127.0.0.1],9,1,Query,"SELECT event_time, user_host, argument 
FROM mysql.general_log 
WHERE command_type = 'Connect' OR command_type = 'Quit'
LIMIT 0, 1000"
2024-05-17 17:20:00.754101,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT st.* FROM performance_schema.events_statements_current st JOIN performance_schema.threads thr ON thr.thread_id = st.thread_id WHERE thr.processlist_id = 9
2024-05-17 17:20:00.756731,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT st.* FROM performance_schema.events_stages_history_long st WHERE st.nesting_event_id = 59
2024-05-17 17:20:00.759955,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT st.* FROM performance_schema.events_waits_history_long st WHERE st.nesting_event_id = 59
2024-05-17 17:20:00.766853,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SHOW INDEX FROM `mysql`.`general_log`
2024-05-17 17:22:52.737590,thaituan[thaituan] @ localhost [127.0.0.1],9,1,Query,"SELECT user, host, db, command, time 
FROM information_schema.processlist
LIMIT 0, 1000"
2024-05-17 17:22:52.759980,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT st.* FROM performance_schema.events_statements_current st JOIN performance_schema.threads thr ON thr.thread_id = st.thread_id WHERE thr.processlist_id = 9
2024-05-17 17:22:52.765178,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT st.* FROM performance_schema.events_stages_history_long st WHERE st.nesting_event_id = 61
2024-05-17 17:22:52.767605,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT st.* FROM performance_schema.events_waits_history_long st WHERE st.nesting_event_id = 61
2024-05-17 17:22:52.779430,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SHOW INDEX FROM `information_schema`.`processlist`
